2024-08-28 18:11:32,685 - DEBUG - Inserted route: ('5J', 'MNL', 'SJI')
2024-08-28 18:11:32,708 - DEBUG - Inserted route: ('5J', 'MNL', 'TAC')
2024-08-28 18:11:32,728 - DEBUG - Inserted route: ('5J', 'MNL', 'TAG')
2024-08-28 18:11:32,750 - DEBUG - Inserted route: ('5J', 'MNL', 'TPE')
2024-08-28 18:11:32,775 - DEBUG - Inserted route: ('5J', 'MNL', 'TUG')
2024-08-28 18:11:32,799 - DEBUG - Inserted route: ('5J', 'MNL', 'USU')
2024-08-28 18:11:32,820 - DEBUG - Inserted route: ('5J', 'MNL', 'VRC')
2024-08-28 18:11:32,842 - DEBUG - Inserted route: ('5J', 'MNL', 'WNP')
2024-08-28 18:11:32,863 - DEBUG - Inserted route: ('5J', 'MNL', 'XMN')
2024-08-28 18:11:32,883 - DEBUG - Inserted route: ('5J', 'MNL', 'ZAM')
2024-08-28 18:11:32,902 - DEBUG - Inserted route: ('5J', 'MPH', 'CEB')
2024-08-28 18:11:32,923 - DEBUG - Inserted route: ('5J', 'MPH', 'MNL')
2024-08-28 18:11:32,942 - DEBUG - Inserted route: ('5J', 'NGO', 'MNL')
2024-08-28 18:11:32,963 - DEBUG - Inserted route: ('5J', 'NRT', 'MNL')
2024-08-28 18:11:32,982 - DEBUG - Inserted route: ('5J', 'OZC', 'CEB')
2024-08-28 18:11:33,006 - DEBUG - Inserted route: ('5J', 'OZC', 'MNL')
2024-08-28 18:11:33,027 - DEBUG - Inserted route: ('5J', 'PAG', 'CEB')
2024-08-28 18:11:33,049 - DEBUG - Inserted route: ('5J', 'PAG', 'MNL')
2024-08-28 18:11:33,073 - DEBUG - Inserted route: ('5J', 'PEK', 'MNL')
2024-08-28 18:11:33,093 - DEBUG - Inserted route: ('5J', 'PPS', 'CEB')
2024-08-28 18:11:33,117 - DEBUG - Inserted route: ('5J', 'PPS', 'DVO')
2024-08-28 18:11:33,138 - DEBUG - Inserted route: ('5J', 'PPS', 'ILO')
2024-08-28 18:11:33,160 - DEBUG - Inserted route: ('5J', 'PPS', 'MNL')
2024-08-28 18:11:33,181 - DEBUG - Inserted route: ('5J', 'PUS', 'CEB')
2024-08-28 18:11:33,202 - DEBUG - Inserted route: ('5J', 'PUS', 'MNL')
2024-08-28 18:11:33,222 - DEBUG - Inserted route: ('5J', 'PVG', 'MNL')
2024-08-28 18:11:33,242 - DEBUG - Inserted route: ('5J', 'REP', 'MNL')
2024-08-28 18:11:33,264 - DEBUG - Inserted route: ('5J', 'RXS', 'MNL')
2024-08-28 18:11:33,284 - DEBUG - Inserted route: ('5J', 'SGN', 'MNL')
2024-08-28 18:11:33,307 - DEBUG - Inserted route: ('5J', 'SIN', 'CEB')
2024-08-28 18:11:33,328 - DEBUG - Inserted route: ('5J', 'SIN', 'CRK')
2024-08-28 18:11:33,349 - DEBUG - Inserted route: ('5J', 'SIN', 'ILO')
2024-08-28 18:11:33,377 - DEBUG - Inserted route: ('5J', 'SIN', 'MNL')
2024-08-28 18:11:33,399 - DEBUG - Inserted route: ('5J', 'SJI', 'MNL')
2024-08-28 18:11:33,420 - DEBUG - Inserted route: ('5J', 'SUG', 'CEB')
2024-08-28 18:11:33,439 - DEBUG - Inserted route: ('5J', 'TAC', 'CEB')
2024-08-28 18:11:33,461 - DEBUG - Inserted route: ('5J', 'TAC', 'MNL')
2024-08-28 18:11:33,480 - DEBUG - Inserted route: ('5J', 'TAG', 'MNL')
2024-08-28 18:11:33,505 - DEBUG - Inserted route: ('5J', 'TPE', 'MNL')
2024-08-28 18:11:33,524 - DEBUG - Inserted route: ('5J', 'TUG', 'MNL')
2024-08-28 18:11:33,544 - DEBUG - Inserted route: ('5J', 'USU', 'CEB')
2024-08-28 18:11:33,568 - DEBUG - Inserted route: ('5J', 'USU', 'MNL')
2024-08-28 18:11:33,587 - DEBUG - Inserted route: ('5J', 'VRC', 'MNL')
2024-08-28 18:11:33,609 - DEBUG - Inserted route: ('5J', 'WNP', 'MNL')
2024-08-28 18:11:33,630 - DEBUG - Inserted route: ('5J', 'XMN', 'MNL')
2024-08-28 18:11:33,655 - DEBUG - Inserted route: ('5J', 'ZAM', 'CEB')
2024-08-28 18:11:33,679 - DEBUG - Inserted route: ('5J', 'ZAM', 'DVO')
2024-08-28 18:11:33,712 - DEBUG - Inserted route: ('5J', 'ZAM', 'MNL')
2024-08-28 18:11:40,674 - DEBUG - Inserted route: ('7C', 'BKK', 'ICN')
2024-08-28 18:11:40,704 - DEBUG - Inserted route: ('7C', 'BKK', 'PUS')
2024-08-28 18:11:40,726 - DEBUG - Inserted route: ('7C', 'CEB', 'ICN')
2024-08-28 18:11:40,751 - DEBUG - Inserted route: ('7C', 'CEB', 'PUS')
2024-08-28 18:11:40,773 - DEBUG - Inserted route: ('7C', 'CJJ', 'CJU')
2024-08-28 18:11:40,800 - DEBUG - Inserted route: ('7C', 'CJU', 'CJJ')
2024-08-28 18:11:40,825 - DEBUG - Inserted route: ('7C', 'CJU', 'GMP')
2024-08-28 18:11:40,854 - DEBUG - Inserted route: ('7C', 'CJU', 'PUS')
2024-08-28 18:11:40,882 - DEBUG - Inserted route: ('7C', 'FUK', 'ICN')
2024-08-28 18:11:40,911 - DEBUG - Inserted route: ('7C', 'GMP', 'CJU')
2024-08-28 18:11:40,936 - DEBUG - Inserted route: ('7C', 'GMP', 'KIX')
2024-08-28 18:11:40,964 - DEBUG - Inserted route: ('7C', 'GMP', 'NGO')
2024-08-28 18:11:40,987 - DEBUG - Inserted route: ('7C', 'GUM', 'ICN')
2024-08-28 18:11:41,014 - DEBUG - Inserted route: ('7C', 'HKG', 'ICN')
2024-08-28 18:11:41,034 - DEBUG - Inserted route: ('7C', 'ICN', 'BKK')
2024-08-28 18:11:41,061 - DEBUG - Inserted route: ('7C', 'ICN', 'CEB')
2024-08-28 18:11:41,081 - DEBUG - Inserted route: ('7C', 'ICN', 'FUK')
2024-08-28 18:11:41,109 - DEBUG - Inserted route: ('7C', 'ICN', 'GUM')
2024-08-28 18:11:41,131 - DEBUG - Inserted route: ('7C', 'ICN', 'HKG')
2024-08-28 18:11:41,156 - DEBUG - Inserted route: ('7C', 'ICN', 'KIX')
2024-08-28 18:11:41,181 - DEBUG - Inserted route: ('7C', 'ICN', 'MNL')
2024-08-28 18:11:41,210 - DEBUG - Inserted route: ('7C', 'ICN', 'NGO')
2024-08-28 18:11:41,232 - DEBUG - Inserted route: ('7C', 'ICN', 'NRT')
2024-08-28 18:11:41,261 - DEBUG - Inserted route: ('7C', 'ICN', 'TAO')
2024-08-28 18:11:41,281 - DEBUG - Inserted route: ('7C', 'KIX', 'GMP')
2024-08-28 18:11:41,305 - DEBUG - Inserted route: ('7C', 'KIX', 'ICN')
2024-08-28 18:11:41,325 - DEBUG - Inserted route: ('7C', 'MNL', 'ICN')
2024-08-28 18:11:41,346 - DEBUG - Inserted route: ('7C', 'NGO', 'GMP')
2024-08-28 18:11:41,370 - DEBUG - Inserted route: ('7C', 'NGO', 'ICN')
2024-08-28 18:11:41,390 - DEBUG - Inserted route: ('7C', 'NRT', 'ICN')
2024-08-28 18:11:41,416 - DEBUG - Inserted route: ('7C', 'PUS', 'BKK')
2024-08-28 18:11:41,437 - DEBUG - Inserted route: ('7C', 'PUS', 'CJU')
2024-08-28 18:11:41,461 - DEBUG - Inserted route: ('7C', 'TAO', 'ICN')
2024-08-28 18:12:08,144 - DEBUG - Inserted route: ('A3', 'AOK', 'ATH')
2024-08-28 18:12:08,168 - DEBUG - Inserted route: ('A3', 'AOK', 'KSJ')
2024-08-28 18:12:08,188 - DEBUG - Inserted route: ('A3', 'AOK', 'RHO')
2024-08-28 18:12:08,212 - DEBUG - Inserted route: ('A3', 'ARN', 'KLX')
2024-08-28 18:12:08,233 - DEBUG - Inserted route: ('A3', 'ARN', 'SKG')
2024-08-28 18:12:08,253 - DEBUG - Inserted route: ('A3', 'ATH', 'AOK')
2024-08-28 18:12:08,272 - DEBUG - Inserted route: ('A3', 'ATH', 'AUH')
2024-08-28 18:12:08,292 - DEBUG - Inserted route: ('A3', 'ATH', 'AXD')
2024-08-28 18:12:08,315 - DEBUG - Inserted route: ('A3', 'ATH', 'BCN')
2024-08-28 18:12:08,333 - DEBUG - Inserted route: ('A3', 'ATH', 'BEG')
2024-08-28 18:12:08,354 - DEBUG - Inserted route: ('A3', 'ATH', 'BRU')
2024-08-28 18:12:08,372 - DEBUG - Inserted route: ('A3', 'ATH', 'BUD')
2024-08-28 18:12:08,392 - DEBUG - Inserted route: ('A3', 'ATH', 'CAI')
2024-08-28 18:12:08,415 - DEBUG - Inserted route: ('A3', 'ATH', 'CDG')
2024-08-28 18:12:08,435 - DEBUG - Inserted route: ('A3', 'ATH', 'CFU')
2024-08-28 18:12:08,456 - DEBUG - Inserted route: ('A3', 'ATH', 'CHQ')
2024-08-28 18:12:08,480 - DEBUG - Inserted route: ('A3', 'ATH', 'DME')
2024-08-28 18:12:08,504 - DEBUG - Inserted route: ('A3', 'ATH', 'DUS')
